Year,Month,Expenditure
2000,1,66863
2000,2,68872
2000,3,74025
2000,4,72157
2000,5,75402
2000,6,71592
2000,7,74206
2000,8,76242
2000,9,71947
2000,10,74100
2000,11,70591
2000,12,91456
2001,1,66918
2001,2,66393
2001,3,71802
2001,4,68922
2001,5,71890
2001,6,69717
2001,7,71998
2001,8,73485
2001,9,70552
2001,10,71616
2001,11,68793
2001,12,89149
2002,1,65731
2002,2,63899
2002,3,71617
2002,4,68809
2002,5,72948
2002,6,70293
2002,7,70671
2002,8,74026
2002,9,69942
2002,10,70362
2002,11,68476
2002,12,87744
2003,1,64261
2003,2,63328
2003,3,71027
2003,4,67942
2003,5,70976
2003,6,68592
2003,7,69780
2003,8,72154
2003,9,67876
2003,10,69913
2003,11,67492
2003,12,85577
2004,1,65166
2004,2,65707
2004,3,69161
2004,4,66472
2004,5,71436
2004,6,67534
2004,7,69738
2004,8,71220
2004,9,67438
2004,10,70286
2004,11,66994
2004,12,84524
2005,1,64370
2005,2,62535
2005,3,67985
2005,4,66936
2005,5,70543
2005,6,66472
2005,7,68923
2005,8,70162
2005,9,67239
2005,10,69403
2005,11,65613
2005,12,84213
2006,1,62980
2006,2,61258
2006,3,67636
2006,4,66737
2006,5,69180
2006,6,66411
2006,7,68155
2006,8,70116
2006,9,66479
2006,10,68922
2006,11,65725
2006,12,83726
2007,1,64640
2007,2,61888
2007,3,68691
2007,4,67165
2007,5,69367
2007,6,67005
2007,7,67464
2007,8,70445
2007,9,67689
2007,10,68195
2007,11,65751
2007,12,84130
2008,1,63108
2008,2,63981
2008,3,69194
2008,4,66374
2008,5,69870
2008,6,66918
2008,7,68150
2008,8,70909
2008,9,67074
2008,10,69345
2008,11,68510
2008,12,84580
2009,1,63980
2009,2,61719
2009,3,68025
2009,4,65975
2009,5,70936
2009,6,66492
2009,7,67245
2009,8,70577
2009,9,66847
2009,10,68983
2009,11,66446
2009,12,82636
